,genres,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,movie_title,plot_keywords,plot_keyword1,plot_keyword2,plot_keyword3,plot_keyword4,plot_keyword5,language,country,title_year,imdb_score
11,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Batman v Superman: Dawn of Justice,based on comic book|batman|sequel to a reboot|superhero|superman,based on comic book,batman,sequel to a reboot,superhero,superman,English,USA,2016,6.9
12,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Superman Returns,crystal|epic|lex luthor|lois lane|return to earth,crystal,epic,lex luthor,lois lane,return to earth,English,USA,2006,6.1
13,Action|Adventure,Action,Adventure,,,,,,,Quantum of Solace,action hero|attempted rape|bond girl|official james bond series|revenge,action hero,attempted rape,bond girl,official james bond series,revenge,English,UK,2008,6.7
14,Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,Pirates of the Caribbean: Dead Man's Chest,box office hit|giant squid|heart|liar's dice|monster,box office hit,giant squid,heart,liar's dice,monster,English,USA,2006,7.3
15,Action|Adventure|Western,Action,Adventure,Western,,,,,,The Lone Ranger,horse|outlaw|texas|texas ranger|train,horse,outlaw,texas,texas ranger,train,English,USA,2013,6.5
16,Action|Adventure|Fantasy|Sci-Fi,Action,Adventure,Fantasy,Sci-Fi,,,,,Man of Steel,based on comic book|british actor playing american character|final battle|origin of hero|reboot,based on comic book,british actor playing american character,final battle,origin of hero,reboot,English,USA,2013,7.2
17,Action|Adventure|Family|Fantasy,Action,Adventure,Family,Fantasy,,,,,The Chronicles of Narnia: Prince Caspian,brother brother relationship|brother sister relationship|good versus evil|king|narnia,brother brother relationship,brother sister relationship,good versus evil,king,narnia,English,USA,2008,6.6
18,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,The Avengers,alien invasion|assassin|battle|iron man|soldier,alien invasion,assassin,battle,iron man,soldier,English,USA,2012,8.1
19,Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,Pirates of the Caribbean: On Stranger Tides,blackbeard|captain|pirate|revenge|soldier,blackbeard,captain,pirate,revenge,soldier,English,USA,2011,6.7
20,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi,,,Men in Black 3,alien|criminal|m.i.b.|maximum security prison|prison,alien,criminal,m.i.b.,maximum security prison,prison,English,USA,2012,6.8
21,Adventure|Fantasy,Adventure,Fantasy,,,,,,,The Hobbit: The Battle of the Five Armies,army|elf|hobbit|middle earth|orc,army,elf,hobbit,middle earth,orc,English,New Zealand,2014,7.5
22,Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,The Amazing Spider-Man,lizard|outcast|spider|spider man|teenager,lizard,outcast,spider,spider man,teenager,English,USA,2012,7
23,Action|Adventure|Drama|History,Action,Adventure,Drama,History,,,,,Robin Hood,1190s|archer|england|king of england|robin hood,1190s,archer,england,king of england,robin hood,English,USA,2010,6.7
24,Adventure|Fantasy,Adventure,Fantasy,,,,,,,The Hobbit: The Desolation of Smaug,dwarf|elf|lake town|mountain|sword and sorcery,dwarf,elf,lake town,mountain,sword and sorcery,English,USA,2013,7.9
25,Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,The Golden Compass,children|epic|friend|girl|quest,children,epic,friend,girl,quest,English,USA,2007,6.1
26,Action|Adventure|Drama|Romance,Action,Adventure,Drama,Romance,,,,,King Kong,animal name in title|ape abducts a woman|gorilla|island|king kong,animal name in title,ape abducts a woman,gorilla,island,king kong,English,New Zealand,2005,7.2
27,Drama|Romance,Drama,Romance,,,,,,,Titanic,artist|love|ship|titanic|wet,artist,love,ship,titanic,wet,English,USA,1997,7.7
28,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Captain America: Civil War,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,based on comic book,knife,marvel cinematic universe,returning character killed off,superhero,English,USA,2016,8.2
29,Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,Battleship,box office flop|hawaii|naval|oahu hawaii|ship,box office flop,hawaii,naval,oahu hawaii,ship,English,USA,2012,5.9
30,Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,Jurassic World,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,dinosaur,disaster film,experiment gone wrong,jurassic park,velociraptor,English,USA,2015,7
31,Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,Skyfall,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,brawl,childhood home,computer cracker,intelligence agency,terrorist cell,English,UK,2012,7.8
32,Action|Adventure|Fantasy|Romance,Action,Adventure,Fantasy,Romance,,,,,Spider-Man 2,death|doctor|scientist|super villain|tentacle,death,doctor,scientist,super villain,tentacle,English,USA,2004,7.3
33,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Iron Man 3,armor|explosion|human bomb|missile attack|terrorist,armor,explosion,human bomb,missile attack,terrorist,English,USA,2013,7.2
34,Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,Alice in Wonderland,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,alice in wonderland,mistaking reality for dream,queen,shrinking,shrinking potion,English,USA,2010,6.5
35,Action|Adventure|Fantasy|Sci-Fi|Thriller,Action,Adventure,Fantasy,Sci-Fi,Thriller,,,,X-Men: The Last Stand,battle|mutant|outrage|walking through a wall|x men,battle,mutant,outrage,walking through a wall,x men,English,Canada,2006,6.8
36,Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,Monsters University,cheating|fraternity|monster|singing in a car|university,cheating,fraternity,monster,singing in a car,university,English,USA,2013,7.3
37,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Transformers: Revenge of the Fallen,autobot|decepticon|machine|sun|symbol,autobot,decepticon,machine,sun,symbol,English,USA,2009,6
38,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Transformers: Age of Extinction,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,blockbuster,bumblebee the character,semi truck and trailer,texas,truck,English,USA,2014,5.7
39,Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,Oz the Great and Powerful,circus|magic|magician|oz|witch,circus,magic,magician,oz,witch,English,USA,2013,6.4
40,Action|Adventure|Fantasy|Sci-Fi,Action,Adventure,Fantasy,Sci-Fi,,,,,The Amazing Spider-Man 2,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,costumed hero,death of girlfriend,masked vigilante,returning character killed off,teenager,English,USA,2014,6.7
41,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,TRON: Legacy,arcade|bridge|disappearance|escape|warrior,arcade,bridge,disappearance,escape,warrior,English,USA,2010,6.8
42,Adventure|Animation|Comedy|Family|Sport,Adventure,Animation,Comedy,Family,Sport,,,,Cars 2,best friend|car race|conspiracy|gadget car|spy,best friend,car race,conspiracy,gadget car,spy,English,USA,2011,6.3
43,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Green Lantern,autopsy|lantern|planet|ring|test pilot,autopsy,lantern,planet,ring,test pilot,English,USA,2011,5.6
44,Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,Toy Story 3,college|day care|escape|teddy bear|toy,college,day care,escape,teddy bear,toy,English,USA,2010,8.3
45,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Terminator Salvation,death row|future|machine|rescue|skynet,death row,future,machine,rescue,skynet,English,USA,2009,6.6
46,Action|Crime|Thriller,Action,Crime,Thriller,,,,,,Furious 7,car falling off a cliff|hospital|revenge|star died before release|terrorist,car falling off a cliff,hospital,revenge,star died before release,terrorist,English,USA,2015,7.2
47,Action|Adventure|Horror|Sci-Fi|Thriller,Action,Adventure,Horror,Sci-Fi,Thriller,,,,World War Z,chaos|disease|infection|pandemic|zombie,chaos,disease,infection,pandemic,zombie,English,USA,2013,7
48,Action|Adventure|Fantasy|Sci-Fi|Thriller,Action,Adventure,Fantasy,Sci-Fi,Thriller,,,,X-Men: Days of Future Past,dystopia|super strength|supernatural power|time paradox|time travel,dystopia,super strength,supernatural power,time paradox,time travel,English,USA,2014,8
49,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Star Trek Into Darkness,admiral|captain|manhunt|mission|space,admiral,captain,manhunt,mission,space,English,USA,2013,7.8
50,Adventure|Fantasy,Adventure,Fantasy,,,,,,,Jack the Giant Slayer,bean|giant|king|no opening credits|princess,bean,giant,king,no opening credits,princess,English,USA,2013,6.3
51,Drama|Romance,Drama,Romance,,,,,,,The Great Gatsby,ingratitude|mansion|party|title appears in writing|tragedy,ingratitude,mansion,party,title appears in writing,tragedy,English,Australia,2013,7.3
52,Action|Adventure|Fantasy|Romance,Action,Adventure,Fantasy,Romance,,,,,Prince of Persia: The Sands of Time,alamut|dagger|king|persia|princess,alamut,dagger,king,persia,princess,English,USA,2010,6.6
53,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Pacific Rim,giant monster|kaiju|pilot|portal|robot,giant monster,kaiju,pilot,portal,robot,English,USA,2013,7
54,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Transformers: Dark of the Moon,autobot|decepticon|job interview|moon|spacecraft,autobot,decepticon,job interview,moon,spacecraft,English,USA,2011,6.3
55,Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,Indiana Jones and the Kingdom of the Crystal Skull,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,cult figure,femme fatale,indiana jones,unsubtitled foreign language,year 1957,English,USA,2008,6.2
56,Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,The Good Dinosaur,apatosaurus|asteroid|dinosaur|fear|river,apatosaurus,asteroid,dinosaur,fear,river,English,USA,2015,6.8
57,Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,Brave,archery|coming of age|female warrior|princess|rebellious daughter,archery,coming of age,female warrior,princess,rebellious daughter,English,USA,2012,7.2
58,Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,Star Trek Beyond,hatred|sequel|space opera|star trek|third part,hatred,sequel,space opera,star trek,third part,English,USA,2016,7.5
59,Adventure|Animation|Family|Sci-Fi,Adventure,Animation,Family,Sci-Fi,,,,,WALL?E,earth|obesity|plant|robot|soil,earth,obesity,plant,robot,soil,English,USA,2008,8.4
60,Action|Comedy|Crime|Thriller,Action,Comedy,Crime,Thriller,,,,,Rush Hour 3,ambassador|assassination|chinese|french|triad,ambassador,assassination,chinese,french,triad,English,USA,2007,6.2
61,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,2012,ark|catastrophe|geologist|president|writer,ark,catastrophe,geologist,president,writer,English,USA,2009,5.8
62,Animation|Drama|Family|Fantasy,Animation,Drama,Family,Fantasy,,,,,A Christmas Carol,charles dickens|christmas|christmas eve|ghost|scrooge,charles dickens,christmas,christmas eve,ghost,scrooge,English,USA,2009,6.8
63,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Jupiter Ascending,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,box office flop,critically bashed,planet earth,space opera,woman in bra and panties,English,USA,2015,5.4
64,Action|Adventure|Drama|Romance,Action,Adventure,Drama,Romance,,,,,The Legend of Tarzan,africa|capture|jungle|male objectification|tarzan,africa,capture,jungle,male objectification,tarzan,English,USA,2016,6.6
65,Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",hide and seek|lion|magic|professor|snow,hide and seek,lion,magic,professor,snow,English,USA,2005,6.9
66,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,X-Men: Apocalypse,mutant|superhero|superhero team|x men|year 1983,mutant,superhero,superhero team,x men,year 1983,English,USA,2016,7.3
67,Action|Crime|Drama|Thriller,Action,Crime,Drama,Thriller,,,,,The Dark Knight,based on comic book|dc comics|psychopath|star died before release|urban setting,based on comic book,dc comics,psychopath,star died before release,urban setting,English,USA,2008,9
68,Adventure|Animation|Comedy|Family,Adventure,Animation,Comedy,Family,,,,,Up,balloon|house|promise|retirement|skeleton,balloon,house,promise,retirement,skeleton,English,USA,2009,8.3
69,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Action,Adventure,Animation,Comedy,Family,Sci-Fi,,,Monsters vs. Aliens,alien|alien invasion|alien space craft|giant|giantess,alien,alien invasion,alien space craft,giant,giantess,English,USA,2009,6.5
70,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Iron Man,afghanistan|billionaire|inventor|playboy|u.s. air force,afghanistan,billionaire,inventor,playboy,u.s. air force,English,USA,2008,7.9
71,Adventure|Drama|Family|Mystery,Adventure,Drama,Family,Mystery,,,,,Hugo,automaton|mechanical|railway station|steampunk|train,automaton,mechanical,railway station,steampunk,train,English,USA,2011,7.5
72,Action|Comedy|Sci-Fi|Western,Action,Comedy,Sci-Fi,Western,,,,,Wild Wild West,buddy movie|general|inventor|steampunk|utah,buddy movie,general,inventor,steampunk,utah,English,USA,1999,4.8
73,Action|Adventure|Fantasy|Horror|Thriller,Action,Adventure,Fantasy,Horror,Thriller,,,,The Mummy: Tomb of the Dragon Emperor,army|china|emperor|mummy|shangri la,army,china,emperor,mummy,shangri la,English,USA,2008,5.2
74,Action|Adventure|Comedy|Sci-Fi,Action,Adventure,Comedy,Sci-Fi,,,,,Suicide Squad,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,based on comic book,critically bashed,father daughter relationship,reference to superman,super villain,English,USA,2016,6.9
75,Comedy|Family|Fantasy,Comedy,Family,Fantasy,,,,,,Evan Almighty,ark|change|congressman|depiction of god|flood,ark,change,congressman,depiction of god,flood,English,USA,2007,5.4
76,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Edge of Tomorrow,alien|combat|dying repeatedly|end of the world|time loop,alien,combat,dying repeatedly,end of the world,time loop,English,USA,2014,7.9
77,Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,Waterworld,future|sail|sea|smoker|water,future,sail,sea,smoker,water,English,USA,1995,6.1
78,Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,G.I. Joe: The Rise of Cobra,cobra|gi joe|snake|train|warhead,cobra,gi joe,snake,train,warhead,English,USA,2009,5.8
79,Adventure|Animation|Comedy|Drama|Family|Fantasy,Adventure,Animation,Comedy,Drama,Family,Fantasy,,,Inside Out,anger|joy|memory|running away|sadness,anger,joy,memory,running away,sadness,English,USA,2015,8.3
80,Adventure|Drama|Family|Fantasy,Adventure,Drama,Family,Fantasy,,,,,The Jungle Book,fire|jungle|remake|tiger|wolf,fire,jungle,remake,tiger,wolf,English,UK,2016,7.8
81,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Iron Man 2,hammer|military|monaco|revenge|tony stark,hammer,military,monaco,revenge,tony stark,English,USA,2010,7
82,Action|Adventure|Drama|Fantasy,Action,Adventure,Drama,Fantasy,,,,,Snow White and the Huntsman,evil queen|fairy tale|magic|queen|snow white,evil queen,fairy tale,magic,queen,snow white,English,USA,2012,6.1
83,Action|Adventure|Family|Fantasy|Romance,Action,Adventure,Family,Fantasy,Romance,,,,Maleficent,curse|dark fantasy|fairy|king|kingdom,curse,dark fantasy,fairy,king,kingdom,English,USA,2014,7
84,Action|Adventure|Drama|Sci-Fi,Action,Adventure,Drama,Sci-Fi,,,,,Dawn of the Planet of the Apes,ape|dam|leader|post apocalypse|sequel,ape,dam,leader,post apocalypse,sequel,English,USA,2014,7.6
85,Action|Adventure|Romance|Sci-Fi,Action,Adventure,Romance,Sci-Fi,,,,,The Lovers,1770s|british india|great barrier reef|india|ring,1770s,british india,great barrier reef,india,ring,English,Belgium,2015,4.5
86,Action|Adventure|Drama|Fantasy,Action,Adventure,Drama,Fantasy,,,,,47 Ronin,box office flop|ronin|samurai|shogun|tournament,box office flop,ronin,samurai,shogun,tournament,English,USA,2013,6.3
87,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Captain America: The Winter Soldier,conspiracy|heroism|megalomaniac|super soldier|world domination,conspiracy,heroism,megalomaniac,super soldier,world domination,English,USA,2014,7.8
88,Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,Shrek Forever After,alternate world|fairy tale parody|female warrior|ogre|true love,alternate world,fairy tale parody,female warrior,ogre,true love,English,USA,2010,6.4
89,Action|Adventure|Family|Mystery|Sci-Fi,Action,Adventure,Family,Mystery,Sci-Fi,,,,Tomorrowland,boy genius|futuristic city|inventor|teenage girl|time travel,boy genius,futuristic city,inventor,teenage girl,time travel,English,USA,2015,6.5
90,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi,,Big Hero 6,high tech|martial arts|masked man|robot|superhero,high tech,martial arts,masked man,robot,superhero,English,USA,2014,7.9
91,Adventure|Animation|Comedy|Family|Sci-Fi,Adventure,Animation,Comedy,Family,Sci-Fi,,,,Wreck-It Ralph,arcade|candy|glitch|king|medal,arcade,candy,glitch,king,medal,English,USA,2012,7.8
92,Adventure|Animation|Family|Fantasy,Adventure,Animation,Family,Fantasy,,,,,The Polar Express,boy|christmas|christmas eve|north pole|train,boy,christmas,christmas eve,north pole,train,English,USA,2004,6.6
93,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Independence Day: Resurgence,alien|battle|defense|independence day|mothership,alien,battle,defense,independence day,mothership,English,USA,2016,5.5
94,Adventure|Animation|Family|Fantasy,Adventure,Animation,Family,Fantasy,,,,,How to Train Your Dragon,dragon|island|training|viking|village,dragon,island,training,viking,village,English,USA,2010,8.2
95,Action|Sci-Fi,Action,Sci-Fi,,,,,,,Terminator 3: Rise of the Machines,drifter|exploding truck|future|machine|skynet,drifter,exploding truck,future,machine,skynet,English,USA,2003,6.4
96,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Guardians of the Galaxy,bounty hunter|outer space|raccoon|talking animal|tree,bounty hunter,outer space,raccoon,talking animal,tree,English,USA,2014,8.1
97,Adventure|Drama|Sci-Fi,Adventure,Drama,Sci-Fi,,,,,,Interstellar,black hole|father daughter relationship|saving the world|space travel|wormhole,black hole,father daughter relationship,saving the world,space travel,wormhole,English,USA,2014,8.6
98,Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,Inception,ambiguous ending|corporate espionage|dream|subconscious|thief,ambiguous ending,corporate espionage,dream,subconscious,thief,English,USA,2010,8.8
99,Action|Adventure|Drama|Horror|Sci-Fi,Action,Adventure,Drama,Horror,Sci-Fi,,,,Godzilla Resurgence,blood|godzilla|monster|sequel,blood,godzilla,monster,sequel,,Japanese,Japan,2016,8.2
100,Adventure|Fantasy,Adventure,Fantasy,,,,,,,The Hobbit: An Unexpected Journey,dragon|dwarf|hobbit|orc|wizard,dragon,dwarf,hobbit,orc,wizard,English,USA,2012,7.9
101,Action|Crime|Thriller,Action,Crime,Thriller,,,,,,The Fast and the Furious,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,eighteen wheeler,illegal street racing,truck,trucker,undercover cop,English,USA,2001,6.7
102,Drama|Fantasy|Romance,Drama,Fantasy,Romance,,,,,,The Curious Case of Benjamin Button,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,deformed baby,diary,lingerie slip,older man younger woman relationship,premature aging,English,USA,2008,7.8
103,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,X-Men: First Class,cia|cia agent|mutant|nuclear war|professor,cia,cia agent,mutant,nuclear war,professor,English,USA,2011,7.8
104,Adventure|Sci-Fi,Adventure,Sci-Fi,,,,,,,The Hunger Games: Mockingjay - Part 2,death of sister|dystopia|execution|rebellion|revolution,death of sister,dystopia,execution,rebellion,revolution,English,USA,2015,6.6
105,Action|Adventure|Family|Fantasy,Action,Adventure,Family,Fantasy,,,,,The Sorcerer's Apprentice,chosen one|enchanted object|love|spell|training,chosen one,enchanted object,love,spell,training,English,USA,2010,6.1
106,Action|Adventure|Drama|Thriller,Action,Adventure,Drama,Thriller,,,,,Poseidon,cruise|escape|ocean|passenger|water,cruise,escape,ocean,passenger,water,English,USA,2006,5.6
107,Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,Alice Through the Looking Glass,clock|dark fantasy|mad hatter|queen|sequel,clock,dark fantasy,mad hatter,queen,sequel,English,USA,2016,6.4
108,Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,Shrek the Third,disney spoof|fairy tale|prince|princess|tough guy,disney spoof,fairy tale,prince,princess,tough guy,English,USA,2007,6.1
109,Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,Warcraft,based on video game|fictional language|fictional war|orc|sword and sorcery,based on video game,fictional language,fictional war,orc,sword and sorcery,English,USA,2016,7.3
110,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Terminator Genisys,alternate timeline|cyborg|future|robot|time machine,alternate timeline,cyborg,future,robot,time machine,English,USA,2015,6.6
111,Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,The Chronicles of Narnia: The Voyage of the Dawn Treader,dragon|king|mouse|quest|warrior,dragon,king,mouse,quest,warrior,English,USA,2010,6.3
112,Action|Drama|History|Romance|War,Action,Drama,History,Romance,War,,,,Pearl Harbor,air raid|black smoke|japanese military|japanese navy|sunday,air raid,black smoke,japanese military,japanese navy,sunday,English,USA,2001,6.1
113,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,Transformers,alien contact|autobot|decepticon|robot vs. robot|teenage hero,alien contact,autobot,decepticon,robot vs. robot,teenage hero,English,USA,2007,7.1
114,Action|Adventure|Biography|Drama|History|Romance|War,Action,Adventure,Biography,Drama,History,Romance,War,,Alexander,ancient greece|conquest|greek|greek myth|king,ancient greece,conquest,greek,greek myth,king,English,Germany,2004,5.5
115,Adventure|Family|Fantasy|Mystery,Adventure,Family,Fantasy,Mystery,,,,,Harry Potter and the Order of the Phoenix,battle|magic|school|teacher|wizard,battle,magic,school,teacher,wizard,English,UK,2007,7.5
116,Adventure|Family|Fantasy|Mystery,Adventure,Family,Fantasy,Mystery,,,,,Harry Potter and the Goblet of Fire,fire|goblet|magic|tournament|wizard,fire,goblet,magic,tournament,wizard,English,UK,2005,7.6
117,Action|Drama,Action,Drama,,,,,,,Hancock,bully comeuppance|destruction|prison|superhero|tough girl,bully comeuppance,destruction,prison,superhero,tough girl,English,USA,2008,6.4
118,Drama|Horror|Sci-Fi,Drama,Horror,Sci-Fi,,,,,,I Am Legend,new york city|pandemic|post apocalypse|survivalist|virus,new york city,pandemic,post apocalypse,survivalist,virus,English,USA,2007,7.2
119,Adventure|Comedy|Family|Fantasy,Adventure,Comedy,Family,Fantasy,,,,,Charlie and the Chocolate Factory,chocolate|diminution|miniaturization|physical flexability|ticket,chocolate,diminution,miniaturization,physical flexability,ticket,English,USA,2005,6.7
120,Animation|Comedy|Family|Fantasy,Animation,Comedy,Family,Fantasy,,,,,Ratatouille,chef|food|french|rat|restaurant,chef,food,french,rat,restaurant,English,USA,2007,8
121,Action|Adventure,Action,Adventure,,,,,,,Batman Begins,armored car|gangster|gotham|mixed martial arts|social decay,armored car,gangster,gotham,mixed martial arts,social decay,English,USA,2005,8.3
122,Action|Adventure|Animation|Comedy|Family,Action,Adventure,Animation,Comedy,Family,,,,Madagascar: Escape 2 Africa,africa|madagascar|new york city|sequel|zoo,africa,madagascar,new york city,sequel,zoo,English,USA,2008,6.7
123,Adventure|Comedy|Family|Fantasy,Adventure,Comedy,Family,Fantasy,,,,,Night at the Museum: Battle of the Smithsonian,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,hdtv,motorcycle,museum,security guard,tyrannosaurus rex,English,USA,2009,5.9
124,Action|Adventure|Fantasy|Sci-Fi|Thriller,Action,Adventure,Fantasy,Sci-Fi,Thriller,,,,X-Men Origins: Wolverine,army|civil war|claw fight|commando|wolverine the character,army,civil war,claw fight,commando,wolverine the character,English,USA,2009,6.7
125,Action|Sci-Fi,Action,Sci-Fi,,,,,,,The Matrix Revolutions,battle|epic|fight|future|machine,battle,epic,fight,future,machine,English,Australia,2003,6.7
126,Adventure|Animation|Comedy|Family|Fantasy|Musical,Adventure,Animation,Comedy,Family,Fantasy,Musical,,,Frozen,magic|sister love|sister sister relationship|snow|snowman,magic,sister love,sister sister relationship,snow,snowman,English,USA,2013,7.6
127,Action|Sci-Fi,Action,Sci-Fi,,,,,,,The Matrix Reloaded,car motorcycle chase|one against many|oracle|prophecy|stylized violence,car motorcycle chase,one against many,oracle,prophecy,stylized violence,English,USA,2003,7.2
128,Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,Thor: The Dark World,arrest|portal|thor|warrior|weapon,arrest,portal,thor,warrior,weapon,English,USA,2013,7.1
129,Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,Mad Max: Fury Road,australia|desert|escape|on the run|post apocalypse,australia,desert,escape,on the run,post apocalypse,English,Australia,2015,8.1
